# Id	Subject	Object	Predicate	Lexical cue
T40	4-13	CHEBI_41879	denotes	infection
T43	28-88	CHEBI_41879	denotes	severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
T1	28-61	DOID_2945	denotes	severe acute respiratory syndrome
T0	28-34	HP_0012828	denotes	severe
T2	35-40	HP_0011009	denotes	acute
T39	41-52	CHEBI_41879	denotes	respiratory
T3	53-61	DOID_225	denotes	syndrome
T41	77-87	CHEBI_41879	denotes	SARS-CoV-2
T4	170-190	DOID_0080600	denotes	SARS-CoV-2 infection
T5	204-211	DOID_4	denotes	disease
T6	219-227	DOID_0080600	denotes	COVID-19
T7	232-247	DOID_10533	denotes	viral pneumonia
T9	238-247	DOID_552	denotes	pneumonia
T8	238-247	HP_0002090	denotes	pneumonia
T42	272-294	CHEBI_41879	denotes	respiratory compromise
T11	348-383	DOID_11394	denotes	acute respiratory distress syndrome
T10	348-353	HP_0011009	denotes	acute
T12	354-374	HP_0002098	denotes	respiratory distress
T13	375-383	DOID_225	denotes	syndrome
T14	423-427	CHEBI_50906	denotes	role
T15	431-446	CHEBI_50858	denotes	corticosteroids
T17	463-498	DOID_11394	denotes	acute respiratory distress syndrome
T16	463-468	HP_0011009	denotes	acute
T18	469-489	HP_0002098	denotes	respiratory distress
T19	490-498	DOID_225	denotes	syndrome
T20	596-609	CHEBI_41879	denotes	dexamethasone
T44	665-687	CHEBI_41879	denotes	mechanical ventilation
T21	746-754	HP_0012826	denotes	moderate
T22	758-764	HP_0012828	denotes	severe
T24	765-800	DOID_11394	denotes	acute respiratory distress syndrome
T23	765-770	HP_0011009	denotes	acute
T25	771-791	HP_0002098	denotes	respiratory distress
T26	792-800	DOID_225	denotes	syndrome
T27	830-838	DOID_0080600	denotes	COVID-19
T28	1021-1029	HP_0012826	denotes	moderate
T29	1033-1039	HP_0012828	denotes	severe
T31	1040-1075	DOID_11394	denotes	acute respiratory distress syndrome
T30	1040-1045	HP_0011009	denotes	acute
T32	1046-1066	HP_0002098	denotes	respiratory distress
T33	1067-1075	DOID_225	denotes	syndrome
T45	1088-1107	CHEBI_41879	denotes	the Berlin criteria
T34	1116-1124	DOID_0080600	denotes	COVID-19
T35	1205-1218	CHEBI_41879	denotes	dexamethasone
T36	1270-1283	CHEBI_41879	denotes	dexamethasone
T37	1349-1362	CHEBI_41879	denotes	dexamethasone
T38	1415-1428	CHEBI_41879	denotes	dexamethasone
R0	T1	T14	no_relation	severe acute respiratory syndrome,role
R1	T1	T15	negative	severe acute respiratory syndrome,corticosteroids
R10	T5	T20	effect	disease,dexamethasone
R11	T5	T35	effect	disease,dexamethasone
R12	T6	T14	no_relation	COVID-19,role
R13	T6	T15	negative	COVID-19,corticosteroids
R14	T6	T20	effect	COVID-19,dexamethasone
R15	T6	T35	effect	COVID-19,dexamethasone
R16	T7	T14	no_relation	viral pneumonia,role
R17	T7	T15	negative	viral pneumonia,corticosteroids
R18	T7	T20	effect	viral pneumonia,dexamethasone
R19	T7	T35	effect	viral pneumonia,dexamethasone
R2	T1	T20	effect	severe acute respiratory syndrome,dexamethasone
R20	T13	T14	no_relation	syndrome,role
R21	T13	T15	no_relation	syndrome,corticosteroids
R22	T13	T20	effect	syndrome,dexamethasone
R23	T13	T35	effect	syndrome,dexamethasone
R24	T17	T14	no_relation	acute respiratory distress syndrome,role
R25	T17	T15	effect	acute respiratory distress syndrome,corticosteroids
R26	T17	T20	effect	acute respiratory distress syndrome,dexamethasone
R27	T17	T35	effect	acute respiratory distress syndrome,dexamethasone
R28	T24	T14	no_relation	acute respiratory distress syndrome,role
R29	T24	T15	effect	acute respiratory distress syndrome,corticosteroids
R3	T1	T35	effect	severe acute respiratory syndrome,dexamethasone
R30	T24	T20	effect	acute respiratory distress syndrome,dexamethasone
R31	T24	T35	effect	acute respiratory distress syndrome,dexamethasone
R32	T27	T14	no_relation	COVID-19,role
R33	T27	T15	effect	COVID-19,corticosteroids
R34	T27	T20	effect	COVID-19,dexamethasone
R35	T27	T35	effect	COVID-19,dexamethasone
R36	T33	T14	no_relation	syndrome,role
R37	T33	T15	no_relation	syndrome,corticosteroids
R38	T33	T20	no_relation	syndrome,dexamethasone
R39	T33	T35	effect	syndrome,dexamethasone
R4	T4	T14	no_relation	SARS-CoV-2 infection,role
R40	T34	T14	no_relation	COVID-19,role
R41	T34	T15	effect	COVID-19,corticosteroids
R42	T34	T20	effect	COVID-19,dexamethasone
R43	T34	T35	effect	COVID-19,dexamethasone
R5	T4	T15	effect	SARS-CoV-2 infection,corticosteroids
R6	T4	T20	effect	SARS-CoV-2 infection,dexamethasone
R7	T4	T35	effect	SARS-CoV-2 infection,dexamethasone
R8	T5	T14	no_relation	disease,role
R9	T5	T15	effect	disease,corticosteroids
R45	T41	T40	effect	SARS-CoV-2,infection
R46	T41	T5	effect	SARS-CoV-2,disease
R47	T41	T6	effect	SARS-CoV-2,COVID-19
R48	T41	T9	effect	SARS-CoV-2,pneumonia
R49	T41	T7	effect	SARS-CoV-2,viral pneumonia
R50	T42	T41	effect	respiratory compromise,SARS-CoV-2
R51	T11	T41	effect	acute respiratory distress syndrome,SARS-CoV-2
R52	T15	T41	Negative	corticosteroids,SARS-CoV-2
R53	T20	T41	effect	dexamethasone,SARS-CoV-2
R54	T44	T42	effect	mechanical ventilation,respiratory compromise
R55	T27	T41	effect	COVID-19,SARS-CoV-2
R56	T45	T31	effect	the Berlin criteria,acute respiratory distress syndrome
R57	T45	T6	effect	the Berlin criteria,COVID-19
R58	T6	T45	effect	COVID-19,the Berlin criteria
R59	T45	T9	effect	the Berlin criteria,pneumonia
R60	T8	T45	effect	pneumonia,the Berlin criteria
R61	T45	T7	effect	the Berlin criteria,viral pneumonia
R62	T40	T43	effect	infection,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
R63	T44	T6	effect	mechanical ventilation,COVID-19
