# Id	Subject	Object	Predicate	Lexical cue
T0	70-78	DOID_0080600	denotes	Covid-19
T7	441-451	DOID_0080600	denotes	face masks
T8	465-482	DOID_0080600	denotes	social distancing
T9	499-511	DOID_0080600	denotes	hand hygiene
T10	517-528	DOID_0080600	denotes	alcohol gel
T11	570-591	DOID_0080600	denotes	respiratory etiquette
T6	626-640	DOID_0080600	denotes	soap and water
T4	635-640	CHEBI_15377	denotes	water
T5	711-719	DOID_0080600	denotes	Covid-19
R1	T0	T4	no_effect	Covid-19,water
R3	T5	T4	no_effect	Covid-19,water
R4	T0	T6	effect	Covid-19,soap and water
R5	T0	T7	effect	Covid-19,face masks
R6	T0	T8	effect	Covid-19,social distancing
R7	T0	T9	effect	Covid-19,hand hygiene
R8	T0	T10	effect	Covid-19,alcohol gel
R9	T0	T11	effect	Covid-19,respiratory etiquette
