# Id	Subject	Object	Predicate	Lexical cue
T8	2-28	MESH:D000086382	denotes	doença de coronavírus 2019
T9	30-38	MESH:D000086382	denotes	COVID-19
T2	118-127	MESH:D010361	denotes	pacientes
T10	131-139	MESH:D000086382	denotes	COVID-19
T14	149-203	MESH:D011945	denotes	receptor da enzima conversora de angiotensina 2 (ECA2)
T11	262-270	MESH:D000086382	denotes	COVID-19
T3	305-315	MESH:D009205	denotes	miocardite
T4	324-333	MESH:D010361	denotes	pacientes
T5	498-509	MESH:D006973	denotes	hipertensão
T6	512-534	MESH:D006333	denotes	insuficiência cardíaca
T13	538-546	MESH:D000086382	denotes	COVID-19
T7	548-556	MESH:D012106	denotes	Pesquisa
T12	615-623	MESH:D000086382	denotes	COVID-19
