# Id	Subject	Object	Predicate	Lexical cue
T15	61-69	MESH:D000086382	denotes	COVID-19
T16	159-167	MESH:D000086382	denotes	COVID-19
T1	243-254	MESH:D002309	denotes	cardiologia
T2	257-266	MESH:D008495	denotes	oncologia
T4	380-388	MESH:D003132	denotes	comércio
T21	507-530	MESH:D002309	denotes	consultas cardiológicas
T19	589-605	MESH:D001794	denotes	pressão arterial
T20	607-624	MESH:D004562	denotes	eletrocardiograma
T6	725-736	MESH:D002404	denotes	cateterismo
T7	813-825	MESH:D017130	denotes	angioplastia
T8	1076-1087	MESH:D002309	denotes	cardiologia
T9	1219-1231	MESH:D011878	denotes	radioterapia
T17	1249-1257	MESH:D000086382	denotes	COVID-19
T10	1331-1342	MESH:D002309	denotes	cardiologia
T11	1344-1353	MESH:D008495	denotes	oncologia
T22	1462-1475	MESH:D017024	denotes	quimioterapia
T12	1478-1490	MESH:D011878	denotes	radioterapia
T13	1703-1714	MESH:D011379	denotes	prognóstico
T14	1722-1731	MESH:D010361	denotes	pacientes
T18	1775-1783	MESH:D000086382	denotes	COVID-19
