# Id	Subject	Object	Predicate	Lexical cue
T1	13-30	MESH:D012816	denotes	sinais e sintomas
T16	73-120	MESH:D000086382	denotes	síndrome respiratória aguda grave coronavírus 2
T17	122-132	MESH:D000086382	denotes	SARS-CoV-2
T5	155-165	MESH:D008091	denotes	literatura
T6	257-264	MESH:D016454	denotes	revisão
T8	380-386	MESH:D004194	denotes	doença
T18	415-420	MESH:D005334	denotes	febre
T9	422-427	MESH:D003371	denotes	tosse
T10	430-438	MESH:D004417	denotes	dispneia
T11	596-602	MESH:D012903	denotes	olfato
T12	606-613	MESH:D013649	denotes	paladar
T13	654-662	MESH:D004417	denotes	dispneia
T14	802-819	MESH:D006296	denotes	serviços de saúde
T19	912-922	MESH:D062665	denotes	vigilância
T20	924-933	MESH:D011322	denotes	prevenção
T21	936-947	MESH:D013812	denotes	tratamento.
