# Id	Subject	Object	Predicate	Lexical cue
T2	78-87	MESH:D010361	denotes	pacientes
T11	92-100	MESH:D000086742	denotes	COVID-19
T3	241-250	MESH:D010361	denotes	pacientes
T4	266-272	MESH:D020474	denotes	ensaio
T16	403-417	MESH:D015850	denotes	interleucina 6
T12	458-466	MESH:D000086742	denotes	COVID-19
T17	480-533	MESH:D016449	denotes	estudo aberto multicêntrico, randomizado e controlado
T5	565-574	MESH:D010361	denotes	pacientes
T6	664-673	MESH:D010361	denotes	pacientes
T13	678-686	MESH:D000086742	denotes	COVID-19
T7	826-844	MESH:D002097	denotes	proteína C-reativa
T18	862-871	MESH:D005293	denotes	ferritina
T14	1095-1103	MESH:D000086742	denotes	COVID-19
T8	1368-1374	MESH:D001938	denotes	Brasil
T9	1626-1632	MESH:D020474	denotes	ensaio
T15	1813-1821	MESH:D000086742	denotes	COVID-19
