# Id	Subject	Object	Predicate	Lexical cue
T25	2-12	MESH:D000086402	denotes	SARS-CoV-2
T2	18-30	MESH:D012328	denotes	vírus de RNA
T26	53-84	MESH:D045169	denotes	doença respiratória aguda grave
T27	100-108	MESH:D000086382	denotes	COVID-19
T28	119-127	MESH:D000086382	denotes	COVID-19
T5	155-161	MESH:D004194	denotes	doença
T6	179-188	MESH:D010361	denotes	pacientes
T7	301-314	MESH:D015415	denotes	biomarcadores
T8	394-403	MESH:D010361	denotes	pacientes
T29	408-416	MESH:D000086382	denotes	COVID-19
T9	534-547	MESH:D015415	denotes	biomarcadores
T10	599-608	MESH:D010361	denotes	pacientes
T11	609-622	MESH:D017741	denotes	sobreviventes
T12	629-642	MESH:D017741	denotes	sobreviventes
T30	646-654	MESH:D000086382	denotes	COVID-19
T13	787-792	MESH:D012306	denotes	risco
T14	825-848	MESH:D016001	denotes	intervalos de confiança
T16	951-973	MESH:D012189	denotes	estudos retrospectivos
T17	1003-1012	MESH:D010361	denotes	pacientes
T18	1018-1031	MESH:D017741	denotes	sobreviventes
T34	1126-1146	MESH:D019210	denotes	troponina cardíaca I
T20	1234-1242	MESH:D003401	denotes	creatina
T35	1257-1279	MESH:D018376	denotes	complicações cardíacas
T21	1311-1316	MESH:D012306	denotes	risco
T22	1329-1338	MESH:D010361	denotes	pacientes
T31	1343-1366	MESH:D000086382	denotes	infecção por SARS-CoV-2
T36	1388-1414	MESH:D018376	denotes	condições cardiovasculares
T23	1440-1453	MESH:D015415	denotes	biomarcadores
T32	1497-1505	MESH:D000086382	denotes	COVID-19
T24	1562-1573	MESH:D009026	denotes	mortalidade
T33	1577-1600	MESH:D000086382	denotes	infecção por SARS-CoV-2
