# Id	Subject	Object	Predicate	Lexical cue
T4	44-48	MESH:D012380	denotes	role
T3	44-48	CHEBI:50906	denotes	role
T6	56-63	MESH:D004194	denotes	disease
T5	56-63	DOID:4	denotes	disease
T7	64-72	HP:0012824	denotes	severity
T8	76-84	MESH:D010361	denotes	patients
T9	90-98	DOID:0080600	denotes	COVID-19
T11	229-237	MESH:D010361	denotes	patients
T12	267-278	CHEBI:64360	denotes	tocilizumab
T14	404-412	DOID:0080600	denotes	COVID-19
T16	441-468	MESH:D016449	denotes	randomized controlled trial
T17	503-514	CHEBI:64360	denotes	tocilizumab
T19	570-578	MESH:D010361	denotes	patients
T20	584-592	HP:0012826	denotes	moderate
T21	596-602	HP:0012828	denotes	severe
T22	603-611	DOID:0080600	denotes	COVID-19
T24	736-744	CHEBI:82594	denotes	ferritin
T25	761-768	CHEBI:24996	denotes	lactate
T27	930-938	DOID:0080600	denotes	COVID-19
T29	1102-1105	CHEBI:84123	denotes	age
T30	1163-1170	HP:0030645	denotes	central
T31	1204-1210	MESH:D001938	denotes	Brazil
T32	1360-1366	MESH:D016454	denotes	review
T34	1587-1595	DOID:0080600	denotes	COVID-19
T36	1596-1604	MESH:D010361	denotes	patients
