# Id	Subject	Object	Predicate	Lexical cue
T3	26-29	MESH:D012313	denotes	RNA
T2	26-29	CHEBI:33697	denotes	RNA
T4	54-60	HP:0012828	denotes	severe
T5	61-66	HP:0011009	denotes	acute
T7	79-86	MESH:D004194	denotes	disease
T6	79-86	DOID:4	denotes	disease
T8	96-104	DOID:0080600	denotes	COVID-19
T10	115-123	DOID:0080600	denotes	COVID-19
T13	153-160	MESH:D004194	denotes	disease
T12	153-160	DOID:4	denotes	disease
T14	167-175	MESH:D010361	denotes	patients
T15	181-187	HP:0012828	denotes	severe
T17	294-304	MESH:D015415	denotes	biomarkers
T19	360-365	MESH:D003643	denotes	death
T20	369-377	MESH:D010361	denotes	patients
T21	383-391	DOID:0080600	denotes	COVID-19
T23	516-526	MESH:D015415	denotes	biomarkers
T24	580-589	MESH:D017741	denotes	survivors
T25	593-601	DOID:0080600	denotes	COVID-19
T28	710-714	MESH:D012306	denotes	risk
T30	834-855	MESH:D012189	denotes	retrospective studies
T31	882-890	MESH:D010361	denotes	patients
T32	896-905	MESH:D017741	denotes	survivors
T33	1034-1042	MESH:D014336	denotes	troponin
T35	1093-1101	MESH:D003401	denotes	creatine
T34	1093-1101	CHEBI:16919	denotes	creatine
T37	1170-1174	MESH:D012306	denotes	risk
T39	1178-1183	MESH:D003643	denotes	death
T40	1188-1196	MESH:D010361	denotes	patients
T42	1202-1222	DOID:0080600	denotes	SARS-CoV-2 infection
T44	1314-1324	MESH:D015415	denotes	biomarkers
T45	1332-1340	DOID:0080600	denotes	COVID-19
T48	1356-1361	HP:0011009	denotes	acute
T49	1411-1420	MESH:D009026	denotes	mortality
T51	1424-1444	DOID:0080600	denotes	SARS-CoV-2 infection
T53	1464-1472	MESH:D012106	denotes	research
