0,D000409,1
0,D001145,1
0,D002118,1
0,D004194,1
0,D006339,1
0,D006446,1
0,D006973,1
0,D007958,1
0,D009584,1
0,D010361,1
0,D011014,1
0,D011312,1
0,D011486,1
0,D012723,1
0,D020500,1
0,D062186,1
1,D000368,1
1,D001938,1
1,D004602,1
1,D012934,1
1,D014754,1
1,D032882,1
2,D006262,1
2,D009026,1
2,D009272,1
2,D010209,1
2,D013534,1
2,D014376,1
2,D016014,1
2,D019542,1
2,D020500,1
3,D001766,1
3,D006262,1
3,D007182,1
3,D011634,1
3,D014141,1
4,D001769,1
4,D001792,1
4,D001999,1
4,D003933,1
4,D005340,1
4,D009026,1
4,D010361,1
4,D011859,1
4,D012131,1
4,D012769,1
4,D012772,1
4,D013909,1
4,D013921,1
4,D018893,1
4,D019563,1
4,D055370,1
5,D002309,1
5,D002404,1
5,D003132,1
5,D003380,1
5,D008495,1
5,D010361,1
5,D011312,1
5,D011379,1
5,D011878,1
5,D017130,1
6,D003933,1
6,D006262,1
6,D006296,1
6,D014376,1
7,D003715,1
7,D013995,1
8,D003643,1
8,D005355,1
8,D006761,1
8,D007922,1
8,D010100,1
8,D010361,1
8,D010820,1
8,D011658,1
8,D013534,1
8,D013995,1
8,D014186,1
9,D003116,1
9,D003933,1
9,D004194,1
9,D004522,1
9,D007182,1
9,D009035,1
9,D011336,1
9,D012306,1
9,D012699,1
9,D012867,1
9,D013587,1
9,D015994,1
9,D015995,1
9,D035502,1
9,D037841,1
10,D000074384,1
10,D001519,1
10,D003933,1
10,D006262,1
10,D006678,1
10,D011247,1
10,D011253,1
10,D012306,1
10,D012723,1
10,D012725,1
10,D014930,1
11,D006262,1
11,D008722,1
11,D012723,1
11,D014930,1
12,D003625,1
12,D006761,1
12,D012106,1
12,D017203,1
13,D003933,1
13,D006262,1
13,D013663,1
13,D019359,1
14,D002277,1
14,D005154,1
14,D006406,1
14,D009369,1
14,D010307,1
14,D010361,1
14,D013995,1
15,D002490,1
15,D002496,1
15,D004452,1
15,D006040,1
15,D006339,1
15,D007709,1
15,D009026,1
15,D009420,1
15,D010361,1
15,D011014,1
15,D011312,1
15,D012769,1
15,D012772,1
15,D013995,1
15,D014024,1
15,D014655,1
15,D014665,1
15,D014690,1
16,D000069078,1
16,D000906,1
16,D003933,1
16,D004247,1
16,D007182,1
16,D011633,1
16,D012106,1
16,D012306,1
16,D014780,1
16,D015995,1
17,D002097,1
17,D006940,1
17,D010092,1
17,D010477,1
17,D011379,1
17,D012769,1
17,D012772,1
17,D013995,1
18,D003380,1
18,D004522,1
18,D008027,1
18,D008571,1
18,D009272,1
18,D010825,1
18,D015995,1
18,D019369,1
18,D019484,1
19,D004194,1
19,D006262,1
19,D012306,1
19,D012307,1
19,D012723,1
19,D014355,1
19,D015995,1
19,D020500,1
19,D062211,1
19,D063809,1
20,D003933,1
20,D006262,1
20,D007918,1
20,D010825,1
20,D012008,1
21,D000069466,1
21,D005502,1
21,D006184,1
21,D008460,1
21,D009272,1
21,D009752,1
21,D014739,1
21,D015995,1
21,D057766,1
22,D005215,1
22,D009017,1
22,D010361,1
22,D013502,1
22,D013995,1
22,D020500,1
23,D006262,1
23,D008722,1
23,D012723,1
23,D014930,1
24,D006040,1
24,D006262,1
24,D009026,1
24,D011634,1
24,D012306,1
24,D014376,1
24,D019369,1
24,D062206,1
25,D010361,1
25,D015994,1
25,D020500,1
26,D000038,1
26,D003933,1
26,D004925,1
26,D007165,1
26,D009026,1
26,D010361,1
26,D012306,1
26,D012307,1
26,D012769,1
26,D012867,1
26,D013812,1
26,D014005,1
26,D014024,1
27,D004194,1
27,D006262,1
27,D012306,1
27,D012307,1
