# Id	Subject	Object	Predicate	Lexical cue
T14	2-10	MESH:D018352	denotes	COVID-19
T1	17-23	MESH:D004194	denotes	doença
T2	39-44	MESH:D014780	denotes	vírus
T3	62-67	MESH:D014780	denotes	vírus
T4	141-146	MESH:D006262	denotes	Saúde
T15	163-171	MESH:D018352	denotes	COVID-19
T5	195-200	MESH:D006262	denotes	saúde
T6	381-392	MESH:D015995	denotes	prevalência
T16	396-404	MESH:D018352	denotes	COVID-19
T7	501-508	MESH:D009272	denotes	pessoas
T8	566-575	MESH:D057766	denotes	políticas
T9	630-641	MESH:D015995	denotes	prevalência
T10	693-702	MESH:D006040	denotes	objetivos
T11	977-987	MESH:D012494	denotes	amostragem
T12	1011-1018	MESH:D002947	denotes	cidades
T13	1217-1232	MESH:D003625	denotes	coleta de dados
