# Id	Subject	Object	Predicate	Lexical cue
T1	2-8	MESH:D004194	denotes	doença
T8	30-38	MESH:D018352	denotes	COVID-19
T2	118-127	MESH:D010361	denotes	pacientes
T9	131-139	MESH:D018352	denotes	COVID-19
T10	262-270	MESH:D018352	denotes	COVID-19
T3	305-315	MESH:D009205	denotes	miocardite
T4	324-333	MESH:D010361	denotes	pacientes
T5	498-509	MESH:D006973	denotes	hipertensão
T6	512-534	MESH:D006333	denotes	insuficiência cardíaca
T11	538-546	MESH:D018352	denotes	COVID-19
T7	548-556	MESH:D012106	denotes	Pesquisa
T12	615-623	MESH:D018352	denotes	COVID-19
