# Id	Subject	Object	Predicate	Lexical cue
T0	33-41	DOID_0080600	denotes	COVID-19
T1	151-159	DOID_0080600	denotes	COVID-19
T2	880-888	CHEBI_33731	denotes	clusters
T3	1081-1089	CHEBI_33731	denotes	clusters
T4	1130-1138	DOID_0080600	denotes	COVID-19
T5	1257-1265	DOID_0080600	denotes	COVID-19
R0	T0	T2	no_relation	COVID-19,clusters
R1	T0	T3	no_relation	COVID-19,clusters
R2	T1	T2	effect	COVID-19,clusters
R3	T1	T3	effect	COVID-19,clusters
R4	T4	T2	no_relation	COVID-19,clusters
R5	T4	T3	no_relation	COVID-19,clusters
R6	T5	T2	no_relation	COVID-19,clusters
R7	T5	T3	no_relation	COVID-19,clusters
