# Id	Subject	Object	Predicate	Lexical cue
T1	13-30	MESH:D012816	denotes	sinais e sintomas
T2	64-69	MESH:D014780	denotes	vírus
T4	73-106	MESH:D045169	denotes	síndrome respiratória aguda grave
T3	73-81	MESH:D013577	denotes	síndrome
T5	155-165	MESH:D008091	denotes	literatura
T6	257-264	MESH:D016454	denotes	revisão
T7	350-355	MESH:D006262	denotes	Saúde
T8	380-386	MESH:D004194	denotes	doença
T9	422-427	MESH:D003371	denotes	tosse
T10	430-438	MESH:D004417	denotes	dispneia
T11	596-602	MESH:D012903	denotes	olfato
T12	606-613	MESH:D013649	denotes	paladar
T13	654-662	MESH:D004417	denotes	dispneia
T14	802-819	MESH:D006296	denotes	serviços de saúde
T15	814-819	MESH:D006262	denotes	saúde
