# Id	Subject	Object	Predicate	Lexical cue
T1	243-254	MESH:D002309	denotes	cardiologia
T2	257-266	MESH:D008495	denotes	oncologia
T3	277-282	MESH:D003380	denotes	corte
T4	380-388	MESH:D003132	denotes	comércio
T5	589-596	MESH:D011312	denotes	pressão
T6	725-736	MESH:D002404	denotes	cateterismo
T7	813-825	MESH:D017130	denotes	angioplastia
T8	1076-1087	MESH:D002309	denotes	cardiologia
T9	1219-1231	MESH:D011878	denotes	radioterapia
T10	1331-1342	MESH:D002309	denotes	cardiologia
T11	1344-1353	MESH:D008495	denotes	oncologia
T12	1478-1490	MESH:D011878	denotes	radioterapia
T13	1703-1714	MESH:D011379	denotes	prognóstico
T14	1722-1731	MESH:D010361	denotes	pacientes
