# Id	Subject	Object	Predicate	Lexical cue
T19	4-12	MESH:D000086382	denotes	COVID-19
T1	4-12	DOID:0080600	denotes	COVID-19
T5	86-92	MESH:D012449	denotes	safety
T6	186-192	MESH:D016454	denotes	review
T15	244-261	MESH:D000085762	denotes	social distancing
T22	375-392	MESH:D000085762	denotes	social distancing
T20	396-404	MESH:D000086382	denotes	COVID-19
T7	396-404	DOID:0080600	denotes	COVID-19
T9	485-496	MESH:D020485	denotes	legislation
T10	603-613	MESH:D011153	denotes	population
T23	709-721	MESH:D011790	denotes	quarantining
T16	746-763	MESH:D000085762	denotes	social distancing
T21	890-898	MESH:D000086382	denotes	COVID-19
T11	890-898	DOID:0080600	denotes	COVID-19
T17	902-908	MESH:D001938	denotes	Brazil
T13	934-960	MESH:D062665	denotes	epidemiological monitoring
