# Id	Subject	Object	Predicate	Lexical cue
T39	0-24	MESH:D000086382	denotes	Coronavirus disease 2019
T36	0-24	DOID:0080600	denotes	Coronavirus disease 2019
T40	26-34	MESH:D000086382	denotes	COVID-19
T5	26-34	DOID:0080600	denotes	COVID-19
T41	116-124	MESH:D000086382	denotes	COVID-19
T7	116-124	DOID:0080600	denotes	COVID-19
T37	142-189	MESH:D011945	denotes	angiotensin-converting enzyme 2 (ACE2) receptor
T38	191-219	HP:0001626	denotes	Cardiovascular comorbidities
T42	241-249	MESH:D000086382	denotes	COVID-19
T13	241-249	DOID:0080600	denotes	COVID-19
T17	283-294	MESH:D009205	denotes	myocarditis
T16	283-294	HP:0012819	denotes	myocarditis
T15	283-294	DOID:820	denotes	myocarditis
T20	377-391	CHEBI:35457	denotes	ACE inhibitors
T22	396-425	CHEBI:61016	denotes	angiotensin receptor blockers
T25	450-462	MESH:D006973	denotes	hypertension
T24	450-462	HP:0000822	denotes	hypertension
T23	450-462	DOID:10763	denotes	hypertension
T29	467-480	MESH:D006333	denotes	heart failure
T28	467-480	HP:0001635	denotes	heart failure
T27	467-472	MESH:D006321	denotes	heart
T44	484-492	MESH:D000086382	denotes	COVID-19
T31	484-492	DOID:0080600	denotes	COVID-19
T33	504-512	MESH:D012106	denotes	research
T43	562-570	MESH:D000086382	denotes	COVID-19
T35	562-570	DOID:0080600	denotes	COVID-19
