# Id	Subject	Object	Predicate	Lexical cue
T4	44-48	MESH:D012380	denotes	role
T3	44-48	CHEBI:50906	denotes	role
T6	56-63	MESH:D004194	denotes	disease
T5	56-63	DOID:4	denotes	disease
T7	64-72	HP:0012824	denotes	severity
T8	76-84	MESH:D010361	denotes	patients
T9	90-98	HP:0033141	denotes	COVID-19
T45	90-98	MESH:D000086742	denotes	COVID-19
T37	90-98	DOID:0080600	denotes	COVID-19
T38	106-133	CHEBI:67079	denotes	anti-inflammatory therapies
T44	186-219	  GO:0002526	denotes	uncontrolled inflammatory cascade
T11	229-237	MESH:D010361	denotes	patients
T12	267-278	CHEBI:64360	denotes	tocilizumab
T39	351-365	MESH:D015850	denotes	interleukin-6,
T46	404-412	MESH:D000086742	denotes	COVID-19
T40	404-412	HP:0033141	denotes	COVID-19
T14	404-412	DOID:0080600	denotes	COVID-19
T16	441-468	MESH:D016449	denotes	randomized controlled trial
T17	503-514	CHEBI:64360	denotes	tocilizumab
T19	570-578	MESH:D010361	denotes	patients
T20	584-592	HP:0012826	denotes	moderate
T21	596-602	HP:0012828	denotes	severe
T47	603-611	MESH:D000086742	denotes	COVID-19
T41	603-611	HP:0033141	denotes	COVID-19
T22	603-611	DOID:0080600	denotes	COVID-19
T50	707-725	MESH:D002097	denotes	C reactive protein
T51	736-744	MESH:D005293	denotes	ferritin
T24	736-744	CHEBI:82594	denotes	ferritin
T25	761-768	CHEBI:24996	denotes	lactate
T48	930-938	MESH:D000086742	denotes	COVID-19
T42	930-938	HP:0033141	denotes	COVID-19
T27	930-938	DOID:0080600	denotes	COVID-19
T31	1204-1210	MESH:D001938	denotes	Brazil
T32	1360-1366	MESH:D016454	denotes	review
T52	1562-1583	GO:0006954	denotes	inflammatory response
T49	1587-1595	MESH:D000086742	denotes	COVID-19
T43	1587-1595	HP:0033141	denotes	COVID-19
T34	1587-1595	DOID:0080600	denotes	COVID-19
T36	1596-1604	MESH:D010361	denotes	patients
