# Id	Subject	Object	Predicate	Lexical cue
T29	60-68	MESH:D000086382	denotes	COVID-19
T2	60-68	DOID:0080600	denotes	COVID-19
T30	146-156	MESH:D000086382	denotes	SARS-CoV-2
T28	146-156	DOID:0080600	denotes	SARS-CoV-2
T5	182-187	DOID:0080327	denotes	March
T7	213-222	MESH:D015994	denotes	Incidence
T8	224-233	MESH:D009026	denotes	mortality
T9	253-257	MESH:D012306	denotes	risk
T31	372-380	MESH:D000086382	denotes	COVID-19
T10	372-380	DOID:0080600	denotes	COVID-19
T13	381-390	MESH:D015994	denotes	incidence
T15	425-434	MESH:D009026	denotes	mortality
T19	491-500	MESH:D015994	denotes	incidence
T21	560-567	MESH:D016424	denotes	overall
T23	731-735	MESH:D012306	denotes	risk
T32	739-747	MESH:D000086382	denotes	COVID-19
T24	739-747	DOID:0080600	denotes	COVID-19
T27	930-934	MESH:D012306	denotes	risk
T33	938-943	MESH:D003643	denotes	death
