# Id	Subject	Object	Predicate	Lexical cue
T4	28-61	MESH:D045169	denotes	severe acute respiratory syndrome
T3	28-61	DOID:2945	denotes	severe acute respiratory syndrome
T2	28-34	HP:0012828	denotes	severe
T7	35-40	HP:0011009	denotes	acute
T9	53-61	MESH:D013577	denotes	syndrome
T8	53-61	DOID:225	denotes	syndrome
T11	62-73	MESH:D017934	denotes	coronavirus
T87	77-87	MESH:41879	denotes	SARS-CoV-2
T14	170-190	DOID:0080600	denotes	SARS-CoV-2 infection
T17	192-203	MESH:D017934	denotes	coronavirus
T19	204-211	MESH:D004194	denotes	disease
T18	204-211	DOID:4	denotes	disease
T20	219-227	DOID:0080600	denotes	COVID-19
T22	232-247	DOID:10533	denotes	viral pneumonia
T25	238-247	MESH:D011014	denotes	pneumonia
T24	238-247	HP:0002090	denotes	pneumonia
T23	238-247	DOID:552	denotes	pneumonia
T26	325-333	MESH:D010361	denotes	patients
T28	348-383	DOID:11394	denotes	acute respiratory distress syndrome
T27	348-353	HP:0011009	denotes	acute
T29	354-374	HP:0002098	denotes	respiratory distress
T31	375-383	MESH:D013577	denotes	syndrome
T30	375-383	DOID:225	denotes	syndrome
T34	423-427	MESH:D012380	denotes	role
T33	423-427	CHEBI:50906	denotes	role
T35	431-446	CHEBI:50858	denotes	corticosteroids
T37	463-498	DOID:11394	denotes	acute respiratory distress syndrome
T36	463-468	HP:0011009	denotes	acute
T38	469-489	HP:0002098	denotes	respiratory distress
T40	490-498	MESH:D013577	denotes	syndrome
T39	490-498	DOID:225	denotes	syndrome
T43	596-609	MESH:D003907	denotes	dexamethasone
T42	596-609	CHEBI:41879	denotes	dexamethasone
T45	676-687	MESH:D014691	denotes	ventilation
T46	726-731	MESH:D000328	denotes	adult
T47	732-740	MESH:D010361	denotes	patients
T48	746-754	HP:0012826	denotes	moderate
T49	758-764	HP:0012828	denotes	severe
T51	765-800	DOID:11394	denotes	acute respiratory distress syndrome
T50	765-770	HP:0011009	denotes	acute
T52	771-791	HP:0002098	denotes	respiratory distress
T54	792-800	MESH:D013577	denotes	syndrome
T53	792-800	DOID:225	denotes	syndrome
T55	830-838	DOID:0080600	denotes	COVID-19
T57	953-961	MESH:D010361	denotes	patients
T58	1021-1029	HP:0012826	denotes	moderate
T59	1033-1039	HP:0012828	denotes	severe
T61	1040-1075	DOID:11394	denotes	acute respiratory distress syndrome
T60	1040-1045	HP:0011009	denotes	acute
T62	1046-1066	HP:0002098	denotes	respiratory distress
T64	1067-1075	MESH:D013577	denotes	syndrome
T63	1067-1075	DOID:225	denotes	syndrome
T65	1092-1098	MESH:D001604	denotes	Berlin
T66	1116-1124	DOID:0080600	denotes	COVID-19
T68	1135-1143	MESH:D010361	denotes	patients
T71	1205-1218	MESH:D003907	denotes	dexamethasone
T70	1205-1218	CHEBI:41879	denotes	dexamethasone
T75	1270-1283	MESH:D003907	denotes	dexamethasone
T74	1270-1283	CHEBI:41879	denotes	dexamethasone
T76	1301-1309	MESH:D010361	denotes	Patients
T79	1349-1362	MESH:D003907	denotes	dexamethasone
T78	1349-1362	CHEBI:41879	denotes	dexamethasone
T81	1415-1428	MESH:D003907	denotes	dexamethasone
T80	1415-1428	CHEBI:41879	denotes	dexamethasone
T83	1670-1681	MESH:D014691	denotes	ventilation
T84	1716-1725	MESH:D009026	denotes	mortality
T86	1837-1848	MESH:D014691	denotes	ventilation
