# Id	Subject	Object	Predicate	Lexical cue
T3	55-88	MESH:D045169	denotes	Severe Acute Respiratory Syndrome
T2	55-88	DOID:2945	denotes	Severe Acute Respiratory Syndrome
T1	55-61	HP:0012828	denotes	Severe
T4	62-67	HP:0011009	denotes	Acute
T6	80-88	MESH:D013577	denotes	Syndrome
T5	80-88	DOID:225	denotes	Syndrome
T7	90-94	DOID:2945	denotes	SARS
T8	103-111	DOID:0080600	denotes	COVID-19
T11	225-229	DOID:2945	denotes	SARS
T12	323-331	DOID:0080600	denotes	COVID-19
T14	376-380	DOID:2945	denotes	SARS
T15	388-396	DOID:0080600	denotes	COVID-19
T19	627-633	MESH:D005260	denotes	female
T22	819-837	MESH:D017052	denotes	hospital mortality
T23	828-837	MESH:D009026	denotes	mortality
