# Id	Subject	Object	Predicate	Lexical cue
T1	61-69	DOID:0080600	denotes	COVID-19
T4	151-159	DOID:0080600	denotes	COVID-19
T7	246-256	MESH:D002309	denotes	cardiology
T8	261-269	HP:0002664	denotes	oncology
T15	503-513	MESH:D002309	denotes	cardiology
T16	529-537	MESH:D015444	denotes	exercise
T19	564-578	MESH:D001794	denotes	blood pressure
T18	564-569	MESH:D001769	denotes	blood
T21	570-578	MESH:D011312	denotes	pressure
T22	1088-1098	MESH:D002309	denotes	cardiology
T24	1142-1150	HP:0002664	denotes	oncology
T26	1237-1249	MESH:D011878	denotes	radiotherapy
T28	1377-1387	MESH:D002309	denotes	cardiology
T29	1389-1397	HP:0002664	denotes	oncology
T30	1517-1529	MESH:D011878	denotes	radiotherapy
T31	1681-1691	MESH:D002309	denotes	cardiology
T33	1768-1777	MESH:D011379	denotes	prognosis
T34	1787-1795	MESH:D010361	denotes	patients
T35	1824-1832	DOID:0080600	denotes	COVID-19
