# Id	Subject	Object	Predicate	Lexical cue
T5	37-48	MESH:D017934	denotes	coronavirus
T7	49-56	MESH:D004194	denotes	disease
T6	49-56	DOID:4	denotes	disease
T23	63-71	DOID:0080600	denotes	COVID-19
T8	92-100	MESH:D010361	denotes	patients
T22	106-133	MESH:D000082742	denotes	cardiovascular risk factors
T9	121-125	MESH:D012306	denotes	risk
T10	121-133	MESH:D012307	denotes	risk factors
T12	141-148	MESH:D004194	denotes	disease
T11	141-148	DOID:4	denotes	disease
T13	211-219	MESH:D010361	denotes	patients
T14	225-233	DOID:0080600	denotes	COVID-19
T16	408-416	MESH:D010361	denotes	patients
T17	422-430	DOID:0080600	denotes	COVID-19
T19	448-457	MESH:D001288	denotes	attention
T21	465-486	MESH:D002319	denotes	cardiovascular system
